tab-separated fields are: coordinated universal date and time (it is nearly date and time of checkout), environment id, autobuild summary, code coverage summary, space-separated list of failed/crashed tests
Note: it is normal for w2k_vc6 autobuilds to have "bad_build" code coverage summary -- vc6 just crashes with internal error trying to compile instrumented tests.
02/03/04 xx:xx:xx	w2k_icc	failed	crashed_74.1	testSetStatistics
10/23/04 20:20:01	w2k_icc	crashed	crashed_26.8	testComputeLikelihood testExInfEngine
10/25/04 20:20:01	w2k_icc	crashed	bad_build	testExInfEngine
10/26/04 20:20:03	w2k_icc	crashed	bad_build	testExInfEngine
10/27/04 20:20:02	w2k_icc	crashed	bad_build	testExInfEngine
10/28/04 20:20:02	w2k_icc	crashed	crashed_27.4	testComputeLikelihood testExInfEngine
10/30/04 20:20:10	w2k_icc	failed	crashed_	
11/01/04 21:20:02	w2k_icc	crashed	crashed_27.4	testExInfEngine
11/02/04 21:20:02	w2k_icc	crashed	crashed_27.4	testExInfEngine
11/03/04 21:20:02	w2k_icc	crashed	crashed_27.4	testExInfEngine
11/04/04 21:20:02	w2k_icc	crashed	crashed_27.4	testExInfEngine
11/05/04 21:20:02	w2k_icc	crashed	crashed_27.4	testExInfEngine
11/09/04 21:20:02	w2k_icc	success	69.1	
11/10/04 21:20:02	w2k_icc	success	69.1	
11/11/04 21:20:01	w2k_icc	crashed	crashed_54.6	testGibbsInference
11/13/04 21:20:03	w2k_icc	crashed	crashed_54.7	testGibbsInference
11/15/04 21:20:05	w2k_icc	crashed	crashed_54.7	testGibbsInference
11/16/04 21:20:05	w2k_icc	crashed	crashed_54.7	testGibbsInference
